AAL,American Airlines Gp,36.86,-0.11,37.05,35.97,6885400,t,s
AAPL,Apple Inc,208.49,-1.46,210.12,206.75,25350799,t,s
ADBE,Adobe Systems Inc,249.96,-3.47,254.13,247.74,2401000,t,s
ADI,Analog Devices,89.93,1.62,90.08,87.59,2551000,t,s
ADP,Automatic Data Procs,147.89,-0.41,148.67,147.17,2088000,t,s
ADSK,Autodesk Inc,140.61,1.69,140.71,137.89,1617400,t,s
ALGN,Align Technology I,245.67,0.36,246.8,240.95,1432900,t,s
ALXN,Alexion Pharm Inc,127.18,0,128.42,125.47,884200,t,s
AMAT,Applied Materials,34.94,-0.31,35.62,34.75,9031801,t,s
AMGN,Amgen Inc,196.02,-1.6,198.28,195.28,2889900,t,s
AMZN,Amazon.com Inc,1754.91,-0.58,1784,1725.11,6540200,t,s
ASML,Asml Hldg NY Reg,174.99,-2.43,177.36,174.2,1891400,t,s
ATVI,Activision Blizzard,62.79,-2.3,65.4,62.35,14544399,t,s
AVGO,Broadcom Ltd,240.25,5.85,242.62,232.71,2980300,t,s
BIDU,Baidu Inc,188.55,-6.86,195.75,187.98,2477100,t,s
BIIB,Biogen Inc,326.04,-5.47,331.41,325,1088200,t,s
BKNG,Booking Holdings Inc,1977.61,-20.56,2019.48,1975.07,418500,t,s
BMRN,Biomarin Pharmaceut,98.54,-0.52,101.72,98.33,798800,t,s
CDNS,Cadence Design Sys,46.46,0.31,46.73,45.94,1547100,t,s
CELG,Celgene Corp,75.23,-0.23,76.07,74.85,4693600,t,s
CERN,Cerner Corp,58.05,-0.49,58.9,57.99,1374400,t,s
CHKP,Check Point Software,111.61,-1.24,113.18,111.07,951900,t,s
CHTR,Charter Communicatio,324.65,-3.71,329.91,322.32,1075200,t,s
CMCSA,Comcast Corp A,38.3,0,38.58,37.9,14327101,t,s
COST,Costco Wholesale,238.7,-1.67,239.8,237.03,2140600,t,s
CSCO,Cisco Systems Inc,48.44,0.54,48.44,47.87,21003500,t,s
CSX,CSX Corp,71.67,-0.64,72.77,71.22,3897900,t,s
CTAS,Cintas Corp,181.16,-0.24,181.21,178.47,401800,t,s
CTRP,Ctrip.com Intl Ltd,27.89,-6.55,29.84,27.5,30218502,t,s
CTSH,Cognizant Tech Sol,71.24,-0.13,71.82,70.93,2103700,t,s
CTXS,Citrix Systems Inc,107.06,1.03,107.16,105.62,1138900,t,s
DLTR,Dollar Tree Inc,87.85,1.4,88.33,86.12,2981000,t,s
EA,Electronic Arts Inc,93.87,0.07,94.24,92.33,5045800,t,s
EBAY,Ebay Inc,29.84,-0.02,29.97,29.52,10837899,t,s
ESRX,Express Scripts,99.32,-0.16,99.9,98.85,3991500,t,s
EXPE,Expedia Group Inc,125.43,-2.95,128.69,124.72,1678500,t,s
FAST,Fastenal Co,55.13,0.44,55.24,54.45,2898800,t,s
FB,Facebook Inc,147.87,-3.66,150.94,146.74,24148600,t,s
FISV,Fiserv Inc,79.8,0.59,79.82,78.66,1424100,t,s
FOX,21st Centry Fox Class B,47.47,0.31,47.59,47.08,3295900,t,s
FOXA,21st Centry Fox Class A,47.84,0.29,47.99,47.51,10325800,t,s
